review_id,stars,date,title,text,version,vote_count,app_id,app_name
13844970801,1,2026-03-13,App is not great,"Love love love Nuuly but the app is so subpar. The “available now” option does not stay active and when you’re scrolling through the categories, it eventually just starts repeating the same 12 items you’ve already seen. Don’t think you are able to see all options. Please look into updating so we don’t have to use the desktop.",1.65.1,1,1511548818,Nuuly
13802189660,3,2026-03-01,love the service hate the app,The app is so glitchy but I love the service itself.,1.64.0,0,1511548818,Nuuly
13800952316,1,2026-02-28,Does not work,This app freezes everytime i try to use it. I have to go to the website version. Really wish the app worked,1.64.0,1,1511548818,Nuuly
13785432827,4,2026-02-24,"Great app, one suggestion","Would love to add items to a “next order” cart. I’ve returned my items, I can’t order my next nuuly yet, but I want to add my items to a cart so when I’m able to I can just click check out.",1.64.0,0,1511548818,Nuuly
13774667043,1,2026-02-21,Can’t read reviews on products,"When you try to read reviews on products, the app jumps all over the place. Needs to be fixed.",1.63.0,0,1511548818,Nuuly
13743537849,5,2026-02-12,Fantastic Customer Service!!,"I feel like there’s a trend of companies having really bad customer service recently but nuuly’s customer service really goes above and beyond. They are quick to reply, understanding, and kind. I can’t say enough good things about their customer service team!!!",1.62.2,0,1511548818,Nuuly
13713927097,3,2026-02-04,Hit or Miss,"I’m honestly on the fence about cancelling my subscription. When I have a really good month, there are some adorable clothes and I wear them all the time! However, recently I’ve been having more bad months than good. I have hundreds of items saved to my wishlist, yet the ones I always want are never available. Half the time I’ll get a damaged item, or the clothes that I ordered to fill my box don’t fit or look good so I don’t wear them. I’ve also started getting clothes that REEK and were obviously not washed. If I keep getting more bad boxes than good, I’m going to have to cancel because it’s a waste of my money.",1.62.2,2,1511548818,Nuuly
13679411563,1,2026-01-26,WILL TAKE YOU MONEY!!!!,Absolutely the WORST customer service I have EVER delt with. Said I never retired items but I had proof of return and receipts and they REFUSED TO GIVE ME A REFUND FOR 6 MONTHS!!!!! Genuinely do not give ur money they will try and take it!!!,1.62.2,1,1511548818,Nuuly
13632949294,4,2026-01-14,Love at first try-on,"As soon as I tried on these cords I knew I was going to buy them. They fit like a glove, and can be dressed up or down. They are very flattering and super soft!",1.62.0,0,1511548818,Nuuly
13627368216,3,2026-01-12,Limited stock,"Been using Nuuly for 2 years now.   Pros : I love the idea and a lot of the pieces are aligned with my style. The shipping is fast and if you damage an item accidentally you don’t get charged. Customer service is good and they will generally give you a portion refunded or a bonus item if something is wrong with your order. I also like the thrift shop where you can get items greatly discounted (though I wish they had the option to filter the thrift shop by what was saved in my closet).   Now for the cons…  The biggest con is that the items I want are never available.  I can have 60 items on a list and only 8-10 be available consistently. There are items I have tried to rent for 2 years and it has not been possible. It leaves me making forced choices for the month and they not be truly what I wanted or needed, and then I end wearing them minimally, if at all. When I look at it that way it’s not worth the $100/month.   I don’t want to leave Nuuly but the lack of availability in items despite this being consistent feedback is disheartening. Another month of getting items I’m not really interested in and I think I will have to stop my membership.",1.61.0,1,1511548818,Nuuly
13622291843,5,2026-01-11,Fit like a dream,So many ways to style this I had to keep it,1.61.0,0,1511548818,Nuuly
13614936344,5,2026-01-09,I bought it,I absolutely love this jacket. I bought it.,1.61.0,0,1511548818,Nuuly
13611641372,4,2026-01-08,Great Pants!,"These pants were so much fun to wear in NYC. The hit perfectly for someone with short legs, which is often hard to find!",1.61.0,0,1511548818,Nuuly
